0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,30
96,Foundations,National Environmental Education Foundation,,,,,,,,,,,,,,,,Supports Mt Washington CDC,,,,,,,,
97,Foundations,Negley Flinn Charitable Trust,,,,,,,,,,,,,,,,Supports Grow PGH,,,,,,,,
98,Foundations,PennFuture,,,,,,,,,,,,,,,,,,,,,,,,
99,Foundations,PennVest,,,,,,,,,,,,,,,,Supports Nine Mile Run,,,,,,,,
100,Foundations,Pennsylvania Department of Community and Economic Development,,,,1,,,,,,,,,,,,Supports Allegheny Commons,,,,,,,,
101,Foundations,Pennsylvania DEP,,,,,,,,,,,,,,,,Supports Nine Mile Run,,,,,,,,
102,Foundations,Pennsylvania Historical and Museum Commission,,,,,,,,,,,,,,,,Supports Allegheny Commons,,,,,,,,
103,Foundations,Pittsburgh Foundation,,,,,,,,,,,,,,,,"Supports GBA, Grow PGH, GTECH, Hollow Oak LT, Nine Mile Run",,,,,,,,
104,Foundations,Pittsburgh History and Landmarks Foundation,,,,,,,,,,,,,,,,Support GTECH,,,,,,,,
105,Foundations,Pittsburgh United / Clean Rivers Campaign,,,,,,,,,,,,,,,,Supports Nine Mile Run,,,,,,,,
106,Foundations,PNC Charitable Trust,,,,,,,,,,,,,,,,"Supports Grow PGH, GTECH, Mt Washington CDC",,,,,,,,
107,Foundations,PNC Foundation,,,,,,,,,,,,,,,,"Supports Grow PGH, Mt Washington CDC, PPC",,,,,,,,
108,Foundations,REI,,,,,,,,,,,,,,,,"Supports Hollow Oak LT, Trail PGH",,,,,,,,
109,Foundations,Richard King Mellon Foundation,,,,,,,,,,,,,,,,"Supports Allegheny Cleanways, Allegheny Commons, GBA, Grow PGH, Mt Washington CDC, Nine Mile Run, Sustainable Pittsburgh, Venture Outdoors",,,,,,,,
110,Foundations,Rivers Casino,,,,,,,,,,,,,,,,Supports Allegheny Cleanways,,,,,,,,
111,Foundations,Rockwell Collins,,,,,,,,,,,,,,,,Supports Allegheny Cleanways,,,,,,,,
112,Foundations,Roy A Hunt Foundation,,,,,,,,,,,,,,,,"Supports Mt Washington CDC, Nine Mile Run",,,,,,,,
113,Foundations,Sampson Family Foundation,,,,,,,,,,,,,,,,Supports Grow PGH,,,,,,,,
114,Foundations,Shade Tree Commission ,,,,,,,,,,,,,,,,,,,,,,,,
